time,lat,lon,alt,vn,ve,vd,roll,pitch,yaw
84844.485000000,0.785398163,0.000000000,-0.000125660,-0.003089675,0.010853239,0.005874687,3.141587243,3.141540418,-2.695919450
84844.513000000,0.785398163,0.000000000,-0.000508326,-0.004784197,0.025004262,0.013634285,0.000026384,0.000042461,0.320645677
84844.537000000,0.785398163,0.000000000,-0.001023636,-0.003835085,0.038197833,0.020506381,0.000015656,0.000031418,0.227201086
84844.565000000,0.785398163,0.000000001,-0.001828702,-0.019400650,0.050685400,0.028642761,0.000174820,0.000056516,0.502215006
84844.587000000,0.785398163,0.000000001,-0.002614068,-0.037558808,0.059211879,0.035166429,0.000363229,0.000132300,0.720077323
84844.611000000,0.785398163,0.000000001,-0.003644124,-0.057663121,0.066779000,0.041963270,0.000666118,0.000198464,0.899092717
84844.635000000,0.785398162,0.000000002,-0.004874666,-0.079274193,0.072864550,0.049052311,0.001159351,0.000368953,1.048718964
84844.659000000,0.785398162,0.000000002,-0.006249333,-0.101291515,0.077413959,0.056216816,0.001823027,0.000658256,1.175770213
84844.683000000,0.785398161,0.000000003,-0.007792015,-0.123676351,0.080125971,0.062967889,0.002611061,0.001052350,1.285956252
84844.704000000,0.785398161,0.000000003,-0.009338485,-0.144662742,0.081698670,0.069397593,0.003557977,0.001635187,1.382490979
84844.729000000,0.785398160,0.000000003,-0.011318092,-0.167395875,0.083485978,0.076370835,0.004673781,0.002390790,1.467115491
84844.753000000,0.785398159,0.000000004,-0.013443879,-0.190209840,0.085156167,0.083553351,0.005987985,0.003301068,1.542063959
84844.780000000,0.785398158,0.000000004,-0.016061247,-0.215455831,0.087615616,0.091843799,0.007491139,0.004544961,1.609714464
84844.807000000,0.785398156,0.000000005,-0.018899410,-0.241228118,0.090104113,0.100272111,0.009172474,0.005998758,1.671273619
84844.827000000,0.785398155,0.000000006,-0.021247998,-0.264125218,0.092377302,0.106633066,0.011023694,0.007714741,1.727745347
84844.842000000,0.785398154,0.000000006,-0.023046411,-0.283990644,0.095024320,0.111506718,0.012959771,0.009686174,1.779779847
84844.856000000,0.785398153,0.000000006,-0.024959849,-0.304477194,0.098323775,0.116413932,0.015033461,0.011855973,1.828012121
84844.873000000,0.785398152,0.000000007,-0.027262482,-0.327254259,0.102999369,0.122032808,0.017180502,0.014309122,1.872020699
84844.886000000,0.785398151,0.000000008,-0.029182030,-0.348389056,0.108514486,0.126855082,0.019416137,0.016932489,1.912474446
84844.897000000,0.785398150,0.000000008,-0.031014943,-0.369439131,0.114941874,0.131279032,0.021709144,0.019738578,1.949961985
84844.909000000,0.785398149,0.000000009,-0.032931069,-0.391415572,0.122295562,0.135997578,0.024086789,0.022763028,1.984961699
84844.924000000,0.785398147,0.000000010,-0.035459696,-0.417487389,0.131489653,0.141534332,0.026547014,0.026085768,2.017960980
84844.936000000,0.785398146,0.000000011,-0.037560764,-0.442170532,0.141268078,0.146255771,0.029074888,0.029614027,2.049175251
84844.950000000,0.785398144,0.000000012,-0.040141958,-0.470311597,0.152525466,0.151875329,0.031697039,0.033415442,2.078809572
84844.962000000,0.785398142,0.000000013,-0.042641978,-0.499326587,0.164982864,0.157261725,0.034373417,0.037513730,2.107509433
84844.974000000,0.785398140,0.000000014,-0.045055382,-0.529167870,0.178214692,0.162615426,0.037081813,0.041871207,2.135277379
84844.986000000,0.785398139,0.000000015,-0.047585199,-0.560961101,0.192642191,0.168050192,0.039862333,0.046496264,2.162131968
84845.001000000,0.785398136,0.000000017,-0.050885415,-0.598582886,0.208979990,0.174720773,0.042715532,0.051453868,2.188114714
84845.018000000,0.785398133,0.000000019,-0.054583693,-0.640469305,0.227421531,0.182167812,0.045695526,0.056808597,2.212982270
84845.029000000,0.785398131,0.000000021,-0.057505010,-0.679821689,0.246244373,0.188132312,0.048747691,0.062484741,2.236812456
84845.042000000,0.785398128,0.000000022,-0.060791114,-0.723290502,0.266980025,0.194742610,0.051868933,0.068458473,2.259708160
84845.054000000,0.785398125,0.000000025,-0.064074559,-0.768686760,0.288885516,0.201638403,0.055060519,0.074770366,2.281731089
84845.070000000,0.785398122,0.000000027,-0.068427946,-0.822695977,0.313908985,0.210298610,0.058400745,0.081552691,2.302876194
84845.086000000,0.785398118,0.000000030,-0.073002887,-0.881175427,0.341083048,0.219094009,0.061883461,0.088767896,2.323174831
84845.103000000,0.785398113,0.000000033,-0.078026732,-0.945289901,0.370651335,0.229011051,0.065484637,0.096527613,2.342743944
84845.120000000,0.785398108,0.000000037,-0.083277246,-1.014754967,0.402699392,0.239265561,0.069188232,0.104888150,2.361740086
84845.133000000,0.785398104,0.000000040,-0.087862096,-1.083376990,0.435725539,0.248667436,0.072989748,0.113673212,2.380074937
84845.144000000,0.785398099,0.000000043,-0.092393262,-1.155039903,0.470080348,0.258309257,0.076839014,0.122871520,2.397831772
84845.156000000,0.785398094,0.000000047,-0.097133750,-1.230953116,0.506410922,0.268274677,0.080772028,0.132516877,2.415099931
84845.171000000,0.785398087,0.000000052,-0.103184303,-1.319180318,0.546665863,0.280873362,0.084820864,0.142775851,2.431962193
84845.183000000,0.785398081,0.000000056,-0.108525947,-1.406582024,0.587545628,0.292426651,0.088967130,0.153553855,2.448297833
84845.197000000,0.785398074,0.000000061,-0.114950418,-1.504720314,0.632006909,0.306065809,0.093232252,0.164936481,2.464186720
84845.215000000,0.785398065,0.000000067,-0.123014890,-1.618919061,0.681654524,0.322573887,0.097692795,0.177107120,2.479704876
84845.231000000,0.785398055,0.000000074,-0.131243928,-1.739761880,0.733922622,0.339850651,0.102337694,0.190162475,2.494745676
84845.246000000,0.785398045,0.000000081,-0.139561512,-1.866918491,0.788851622,0.358046099,0.107141020,0.203957363,2.509276222
84845.258000000,0.785398036,0.000000087,-0.147032435,-1.993435530,0.844276621,0.375530557,0.112071879,0.218377405,2.523322148
84845.272000000,0.785398025,0.000000095,-0.156001748,-2.134944019,0.904551277,0.395957187,0.117160654,0.233592670,2.536968413
84845.285000000,0.785398013,0.000000102,-0.164997084,-2.282240606,0.967132458,0.417042266,0.122404669,0.249547293,2.550087290
84845.299000000,0.785398000,0.000000111,-0.175234843,-2.443250021,1.034273315,0.441156782,0.127882116,0.266358419,2.562726749
84845.310000000,0.785397987,0.000000119,-0.185019319,-2.606869032,1.102626014,0.465211554,0.133544436,0.283904697,2.574759235
84845.325000000,0.785397972,0.000000130,-0.197342725,-2.793398244,1.177919783,0.494563182,0.139507421,0.302452532,2.586276889
84845.342000000,0.785397954,0.000000141,-0.211414237,-2.998737631,1.259411113,0.528109461,0.145791438,0.322184819,2.596041437
84845.358000000,0.785397934,0.000000153,-0.226726876,-3.220382151,1.345951877,0.565060726,0.152540944,0.343140834,2.606408587
84845.376000000,0.785397912,0.000000167,-0.244172298,-3.463997593,1.439315885,0.607478120,0.159755193,0.365464078,2.616118938
84845.393000000,0.785397889,0.000000181,-0.262575045,-3.722302013,1.537249870,0.653157462,0.167427724,0.389158923,2.625164503
84845.410000000,0.785397863,0.000000197,-0.283513038,-4.005487100,1.642650885,0.705159311,0.175657648,0.414451405,2.633610219
84845.427000000,0.785397835,0.000000213,-0.305628801,-4.305295337,1.753396031,0.761783781,0.184486410,0.441304566,2.641352277
84845.444000000,0.785397804,0.000000231,-0.330143216,-4.629210114,1.871087552,0.825457985,0.193947130,0.469812731,2.648409106
84845.461000000,0.785397770,0.000000251,-0.358028290,-4.983105284,1.997327076,0.897901752,0.204187505,0.500181499,2.654605559
84845.478000000,0.785397734,0.000000272,-0.387765084,-5.358149799,2.129784882,0.976675175,0.215350256,0.532415899,2.659832829
84845.493000000,0.785397695,0.000000293,-0.418972356,-5.751187327,2.267431821,1.061439323,0.227465400,0.566459632,2.664018106
84845.505000000,0.785397658,0.000000314,-0.448883511,-6.146317573,2.406216803,1.146500239,0.240490479,0.601899888,2.667082963
84845.519000000,0.785397615,0.000000338,-0.484398710,-6.579526986,2.555072853,1.245413158,0.254673361,0.639094023,2.669010815
84845.532000000,0.785397570,0.000000362,-0.521296329,-7.028726588,2.708452926,1.350569266,0.270166149,0.677937538,2.669510339
84845.546000000,0.785397520,0.000000389,-0.563568778,-7.513582901,2.871055391,1.469794046,0.287271748,0.718648411,2.668380262
