time,lat,lon,alt,vn,ve,vd,roll,pitch,yaw
24361.292000000,0.785398163,0.000000000,-0.006987374,0.001217817,0.009577714,0.371789112,3.141585581,3.141586039,2.966776048
24361.319000000,0.785398163,0.000000000,-0.031180438,-0.004394958,0.023318108,0.903070968,0.000066037,0.000031213,0.146221937
24361.342000000,0.785398163,0.000000000,-0.063599681,-0.014974602,0.034543804,1.371910161,0.000252191,0.000041103,0.388004730
24361.368000000,0.785398163,0.000000001,-0.112985377,-0.028903121,0.044716220,1.890252335,0.000731888,0.000051890,0.576938168
24361.390000000,0.785398163,0.000000001,-0.164949158,-0.043509126,0.050818598,2.332538285,0.001487329,0.000206453,0.728937028
24361.414000000,0.785398163,0.000000001,-0.231391059,-0.059541594,0.054745339,2.803043376,0.002583967,0.000491076,0.853976354
24361.438000000,0.785398162,0.000000001,-0.308495274,-0.075319849,0.055241553,3.271101488,0.004161732,0.000995392,0.958740713
24361.459000000,0.785398162,0.000000002,-0.387151390,-0.089751400,0.052875700,3.693834358,0.006039677,0.001811188,1.047697114
24361.483000000,0.785398162,0.000000002,-0.487442282,-0.104449684,0.047687142,4.171230196,0.008390672,0.002995782,1.124252955
24361.506000000,0.785398161,0.000000002,-0.596881937,-0.117476353,0.039468932,4.639604820,0.011212566,0.004612998,1.190717251
24361.533000000,0.785398161,0.000000002,-0.731733322,-0.129468018,0.027589240,5.159760975,0.014642471,0.006695763,1.247954405
24361.556000000,0.785398160,0.000000001,-0.864197184,-0.137706121,0.011829907,5.627329931,0.018459909,0.009268020,1.297617055
24361.582000000,0.785398159,0.000000001,-1.024471684,-0.142759784,-0.008620865,6.144676477,0.022793163,0.012464548,1.341384563
24361.608000000,0.785398159,0.000000000,-1.198375377,-0.144231930,-0.034249678,6.662808856,0.027764915,0.016506665,1.380089632
24361.632000000,0.785398159,-0.000000001,-1.366128939,-0.140528480,-0.064244963,7.131107661,0.033190871,0.021332446,1.414799239
24361.658000000,0.785398158,-0.000000002,-1.565797346,-0.132206322,-0.099981683,7.650306473,0.038999942,0.026964392,1.445936624
24361.684000000,0.785398158,-0.000000004,-1.779058521,-0.117701030,-0.141033005,8.169499437,0.045263846,0.033442585,1.473527960
24361.707000000,0.785398159,-0.000000007,-1.982791243,-0.095356652,-0.186138003,8.638321691,0.051731597,0.040769025,1.497989788
24361.733000000,0.785398159,-0.000000010,-2.223448001,-0.065089830,-0.237308591,9.160059497,0.058436347,0.049043616,1.519782938
24361.757000000,0.785398161,-0.000000013,-2.450923989,-0.026828932,-0.291756343,9.629617974,0.065318347,0.058128080,1.538974078
24361.783000000,0.785398162,-0.000000017,-2.716708643,0.020922887,-0.351705437,10.149955995,0.072282877,0.068155649,1.556043354
24361.809000000,0.785398164,-0.000000022,-2.996151020,0.078548087,-0.415767940,10.669683065,0.079153358,0.078985648,1.571317062
24361.832000000,0.785398167,-0.000000027,-3.259852696,0.145552255,-0.480224153,11.139263895,0.085892156,0.090561436,1.584446801
24361.858000000,0.785398171,-0.000000033,-3.565108714,0.223870482,-0.548700257,11.657754162,0.092444125,0.102890534,1.595648227
24361.882000000,0.785398175,-0.000000038,-3.852064249,0.310736263,-0.615529578,12.126188822,0.098523945,0.115787789,1.605417919
24361.908000000,0.785398180,-0.000000045,-4.183180073,0.409470308,-0.684101666,12.643759059,0.104019927,0.129229656,1.614003502
24361.934000000,0.785398186,-0.000000052,-4.527914935,0.518073481,-0.749961056,13.160572131,0.108740137,0.143066990,1.621272114
24361.958000000,0.785398193,-0.000000058,-4.849979421,0.633123727,-0.809268614,13.626559847,0.112641698,0.157119729,1.627302009
24361.984000000,0.785398201,-0.000000065,-5.222615634,0.758947972,-0.865226162,14.145343625,0.115389261,0.171160424,1.632389190
24362.010000000,0.785398209,-0.000000072,-5.606889458,0.891087188,-0.911654669,14.660638090,0.116941660,0.185029097,1.635494875
24362.033000000,0.785398219,-0.000000077,-5.964798330,1.024411855,-0.944425543,15.125370037,0.117175466,0.198517124,1.637835217
24362.059000000,0.785398229,-0.000000082,-6.374453361,1.164128051,-0.965904963,15.639930267,0.115574345,0.211435731,1.639802671
24362.083000000,0.785398239,-0.000000085,-6.756978531,1.300322293,-0.968733642,16.105777415,0.112159776,0.223567291,1.641305235
24362.109000000,0.785398251,-0.000000087,-7.193356998,1.437952219,-0.954098812,16.621365244,0.106509387,0.234619172,1.642865103
24362.135000000,0.785398262,-0.000000086,-7.642258900,1.569381271,-0.915967401,17.136035310,0.098455683,0.244312169,1.644417403
24362.159000000,0.785398273,-0.000000082,-8.058355296,1.686616251,-0.850754746,17.602048894,0.088039117,0.252407486,1.645754509
24362.185000000,0.785398284,-0.000000076,-8.534481517,1.794653433,-0.757159235,18.120780190,0.074900036,0.258424089,1.647108676
24362.208000000,0.785398293,-0.000000066,-8.974245094,1.880162524,-0.631063720,18.590046477,0.059212466,0.262204894,1.647994301
24362.234000000,0.785398302,-0.000000051,-9.476166711,1.946945204,-0.470564253,19.113370139,0.040632132,0.263329477,1.648697313
24362.260000000,0.785398309,-0.000000031,-9.992043521,1.984456710,-0.270352796,19.639879195,0.018856070,0.261437330,1.649530212
24362.287000000,0.785398313,-0.000000005,-10.532933153,1.986996857,-0.026579224,20.179820310,3.135463704,2.885618271,-1.491118113
