speed: 60 , force: 0.145666
speed: 80 , force: 0.286708
speed: 100 , force: 0.452353
speed: 120 , force: 0.628551
speed: 140 , force: 0.858939
speed: 160 , force: 1.113863
speed: 180 , force: 1.385870
speed: 200 , force: 1.691385
speed: 220 , force: 2.001948
speed: 240 , force: 2.348595
speed: 260 , force: 2.722221
speed: 280 , force: 3.088432
speed: 300 , force: 3.450071
speed: 320 , force: 3.789356
speed: 340 , force: 4.169073
speed: 360 , force: 4.566183
speed: 380 , force: 4.931255
speed: 400 , force: 5.330293
speed: 420 , force: 5.664558
speed: 440 , force: 5.683265
speed: 460 , force: 5.677317
speed: 480 , force: 5.692571
