speed: 20 , force: 0.005072
speed: 40 , force: 0.008696
speed: 60 , force: 0.052375
speed: 80 , force: 0.133166
speed: 100 , force: 0.246117
speed: 120 , force: 0.387631
speed: 140 , force: 0.555838
speed: 160 , force: 0.743767
speed: 180 , force: 0.945012
speed: 200 , force: 1.156814
speed: 220 , force: 1.386651
speed: 240 , force: 1.615154
speed: 260 , force: 1.905548
speed: 280 , force: 2.178747
speed: 300 , force: 2.448636
speed: 320 , force: 2.737558
speed: 340 , force: 3.037430
speed: 360 , force: 3.335508
speed: 380 , force: 3.615583
speed: 400 , force: 3.941413
speed: 420 , force: 4.271920
speed: 440 , force: 4.584145
speed: 460 , force: 4.891658
speed: 480 , force: 5.223500
