speed: 20 , force: 0.026598
speed: 40 , force: 0.026499
speed: 60 , force: 0.060695
speed: 80 , force: 0.168581
speed: 100 , force: 0.394210
speed: 120 , force: 0.672104
speed: 140 , force: 0.954766
speed: 160 , force: 1.245076
speed: 180 , force: 1.580851
speed: 200 , force: 1.962270
speed: 220 , force: 2.341119
speed: 240 , force: 2.748659
speed: 260 , force: 3.151474
speed: 280 , force: 3.546929
speed: 300 , force: 3.958239
speed: 320 , force: 4.388684
speed: 340 , force: 4.846661
speed: 360 , force: 5.298265
speed: 380 , force: 5.702959
speed: 400 , force: 5.817386
speed: 420 , force: 5.796905
speed: 440 , force: 5.775103
speed: 460 , force: 5.733398
speed: 480 , force: 5.699857
