speed: 60 , force: 0.108379
speed: 80 , force: 0.238113
speed: 100 , force: 0.388467
speed: 120 , force: 0.588434
speed: 140 , force: 0.818959
speed: 160 , force: 1.059129
speed: 180 , force: 1.323716
speed: 200 , force: 1.637666
speed: 220 , force: 1.938805
speed: 240 , force: 2.257085
speed: 260 , force: 2.626637
speed: 280 , force: 2.984997
speed: 300 , force: 3.306650
speed: 320 , force: 3.666558
speed: 340 , force: 4.033945
speed: 360 , force: 4.432283
speed: 380 , force: 4.802772
speed: 400 , force: 5.186100
speed: 420 , force: 5.550648
speed: 440 , force: 5.557714
speed: 460 , force: 5.546269
speed: 480 , force: 5.493953
